Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-30T13:54:05.253492
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-30T13:54:05.253492
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-30T13:54:05.253492
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-30T13:54:05.253492
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-30T13:54:05.254489
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-30T13:54:05.254489
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-30T13:54:05.254489
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-30T13:54:05.254489
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-30T13:54:05.255587
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-30T13:54:05.255587
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-30T13:54:05.255587
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-30T13:54:05.256604
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-30T13:54:05.256604
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-30T13:54:05.256604
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-30T13:54:05.257587
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-30T13:54:05.257587
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-30T13:54:05.257587
Pants 22,4319680.0,4.9,3,M,Men,2025-05-30T13:54:06.879709
Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-30T13:54:06.879709
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-30T13:54:06.879709
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-05-30T13:54:06.879709
T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-30T13:54:06.880708
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-30T13:54:06.880708
Pants 28,5216160.0,4.0,3,L,Men,2025-05-30T13:54:06.880708
Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-30T13:54:06.881708
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-30T13:54:06.881708
T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-30T13:54:06.881708
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-30T13:54:06.882708
Pants 34,8362719.999999999,3.8,3,XL,Men,2025-05-30T13:54:06.882708
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-30T13:54:06.882708
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-30T13:54:06.882708
Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-30T13:54:06.883708
T-shirt 38,4866080.0,3.2,3,L,Women,2025-05-30T13:54:06.883708
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-05-30T13:54:06.883708
Pants 40,5853600.0,3.1,3,XXL,Men,2025-05-30T13:54:06.883708
Jacket 42,6744160.0,3.7,3,M,Unisex,2025-05-30T13:54:08.486619
Crewneck 43,2909600.0,4.5,3,L,Men,2025-05-30T13:54:08.486619
T-shirt 44,3312320.0,3.0,3,XL,Women,2025-05-30T13:54:08.486619
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2025-05-30T13:54:08.486619
Outerwear 47,6364640.0,3.2,3,M,Women,2025-05-30T13:54:08.487619
Jacket 48,4994720.0,3.4,3,L,Unisex,2025-05-30T13:54:08.487619
Crewneck 49,1071200.0,4.0,3,XL,Men,2025-05-30T13:54:08.487619
T-shirt 50,5932960.0,3.1,3,XXL,Women,2025-05-30T13:54:08.487619
Pants 52,1596480.0,4.0,3,M,Men,2025-05-30T13:54:08.488621
Outerwear 53,4470880.0,4.3,3,L,Women,2025-05-30T13:54:08.488621
Jacket 54,854560.0,4.2,3,XL,Unisex,2025-05-30T13:54:08.488621
Crewneck 55,1793760.0,3.6,3,XXL,Men,2025-05-30T13:54:08.488621
T-shirt 56,4643040.0,3.8,3,S,Women,2025-05-30T13:54:08.488621
Hoodie 57,3155360.0,4.9,3,M,Unisex,2025-05-30T13:54:08.489620
Pants 58,1637760.0,4.4,3,L,Men,2025-05-30T13:54:08.489620
Outerwear 59,2254240.0,4.6,3,XL,Women,2025-05-30T13:54:08.489620
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2025-05-30T13:54:08.489620
T-shirt 62,1376480.0,3.8,3,M,Women,2025-05-30T13:54:10.152340
Hoodie 63,6479200.0,3.6,3,L,Unisex,2025-05-30T13:54:10.152340
Pants 64,7728480.0,4.0,3,XL,Men,2025-05-30T13:54:10.152340
Outerwear 65,2385920.0,4.1,3,XXL,Women,2025-05-30T13:54:10.153339
Jacket 66,4353120.0,3.5,3,S,Unisex,2025-05-30T13:54:10.153339
Crewneck 67,8470720.0,3.5,3,M,Men,2025-05-30T13:54:10.153339
T-shirt 68,8025280.0,4.0,3,L,Women,2025-05-30T13:54:10.153339
Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2025-05-30T13:54:10.154339
Pants 70,1171360.0,4.4,3,XXL,Men,2025-05-30T13:54:10.154339
Jacket 72,3776000.0,4.4,3,M,Unisex,2025-05-30T13:54:10.154339
Crewneck 73,2460320.0,3.0,3,L,Men,2025-05-30T13:54:10.155339
T-shirt 74,7704800.0,3.8,3,XL,Women,2025-05-30T13:54:10.155339
Hoodie 75,2101760.0,4.3,3,XXL,Unisex,2025-05-30T13:54:10.155339
Outerwear 77,861760.0,3.7,3,M,Women,2025-05-30T13:54:10.156338
Jacket 78,2716480.0,4.3,3,L,Unisex,2025-05-30T13:54:10.156338
Crewneck 79,3309600.0,4.6,3,XL,Men,2025-05-30T13:54:10.156338
T-shirt 80,4178399.9999999995,4.5,3,XXL,Women,2025-05-30T13:54:10.156338
Pants 82,8315520.0,4.8,3,M,Men,2025-05-30T13:54:11.758928
Outerwear 83,3947840.0,3.7,3,L,Women,2025-05-30T13:54:11.759932
Jacket 84,2826080.0,4.8,3,XL,Unisex,2025-05-30T13:54:11.760937
Crewneck 85,4564160.0,3.5,3,XXL,Men,2025-05-30T13:54:11.760937
T-shirt 86,1670880.0,3.9,3,S,Women,2025-05-30T13:54:11.760937
Hoodie 87,7870240.0,4.3,3,M,Unisex,2025-05-30T13:54:11.760937
Pants 88,7590400.0,3.1,3,L,Men,2025-05-30T13:54:11.761937
Outerwear 89,4856320.0,3.0,3,XL,Women,2025-05-30T13:54:11.761937
Jacket 90,7160000.0,4.0,3,XXL,Unisex,2025-05-30T13:54:11.761937
T-shirt 92,5012320.0,3.5,3,M,Women,2025-05-30T13:54:11.762935
Hoodie 93,1365280.0,3.6,3,L,Unisex,2025-05-30T13:54:11.762935
Pants 94,1074880.0,4.3,3,XL,Men,2025-05-30T13:54:11.762935
